experiment_id,bank_condition,query_id,query_version,baseline_avg_state_alignment,baseline_min_state_alignment,baseline_misaligned_count,baseline_retrieved_count,sacr_avg_state_alignment,sacr_min_state_alignment,sacr_misaligned_count,sacr_retrieved_count,alignment_improvement,misalignment_reduction,baseline_shift_drop,sacr_shift_drop
RQ1_20260914T175757Z,normal,Q001,base,0.9020408163265307,0.834013605442177,0,5,0.8285714285714286,0.7142857142857143,0,5,-0.07346938775510203,0,,
RQ1_20260914T175757Z,normal,Q001,shifted,0.8666666666666668,0.8163265306122449,0,5,0.8734693877551021,0.8163265306122449,0,5,0.006802721088435271,0,0.03537414965986385,-0.04489795918367345
RQ1_20260914T175757Z,normal,Q002,base,0.8355102040816325,0.6918367346938776,1,5,0.926938775510204,0.819047619047619,0,5,0.09142857142857153,1,,
RQ1_20260914T175757Z,normal,Q002,shifted,0.8279914070891514,0.6843179377013965,1,5,0.919419978517723,0.8115288220551379,0,5,0.09142857142857153,1,0.007518796992481036,0.007518796992481036
RQ1_20260914T175757Z,normal,Q003,base,0.8118367346938775,0.65578231292517,2,5,0.8689795918367349,0.7925170068027212,0,5,0.057142857142857384,2,,
RQ1_20260914T175757Z,normal,Q003,shifted,0.8289795918367349,0.6843537414965987,2,5,0.8861224489795919,0.8210884353741498,0,5,0.05714285714285705,2,-0.01714285714285735,-0.017142857142857015
RQ1_20260914T175757Z,normal,Q004,base,0.7526530612244897,0.545578231292517,2,5,0.8383673469387756,0.8217687074829932,0,5,0.08571428571428585,2,,
RQ1_20260914T175757Z,normal,Q004,shifted,0.8097959183673469,0.6884353741496599,1,5,0.8383673469387756,0.8217687074829932,0,5,0.028571428571428692,1,-0.05714285714285716,0.0
RQ1_20260914T175757Z,normal,Q005,base,0.7221768707482993,0.545578231292517,4,5,0.815374149659864,0.7074829931972789,0,5,0.09319727891156471,4,,
RQ1_20260914T175757Z,normal,Q005,shifted,0.6949659863945578,0.5183673469387755,4,5,0.8629215896885072,0.7850340136054422,0,5,0.16795560329394943,4,0.027210884353741527,-0.047547440028643195
RQ1_20260914T175757Z,normal,Q006,base,0.7834264232008593,0.6484604368063014,2,5,0.8345506623702112,0.7802721088435375,0,5,0.05112423916935194,2,,
RQ1_20260914T175757Z,normal,Q006,shifted,0.775907626208378,0.6409416398138202,2,5,0.82703186537773,0.7727533118510562,0,5,0.05112423916935194,2,0.007518796992481258,0.007518796992481258
RQ1_20260914T175757Z,normal,Q007,base,0.8348299319727891,0.6761904761904762,1,5,0.8639455782312926,0.819047619047619,0,5,0.02911564625850349,1,,
RQ1_20260914T175757Z,normal,Q007,shifted,0.8386394557823129,0.7142857142857143,0,5,0.8639455782312926,0.8244897959183675,0,5,0.025306122448979673,0,-0.003809523809523818,0.0
RQ1_20260914T175757Z,normal,Q008,base,0.6986322950232724,0.5355352667382742,3,5,0.7864196204797709,0.707124955245256,0,5,0.08778732545649848,3,,
RQ1_20260914T175757Z,normal,Q008,shifted,0.6986322950232724,0.5355352667382742,3,5,0.843562477622628,0.707124955245256,0,5,0.14493018259935564,3,0.0,-0.05714285714285716
RQ1_20260914T175757Z,normal,Q009,base,0.6495094880057286,0.5201754385964913,4,5,0.8557823129251702,0.8054421768707484,0,5,0.20627282491944154,4,,
RQ1_20260914T175757Z,normal,Q009,shifted,0.6222986036519871,0.4929645542427497,4,5,0.8285714285714285,0.7782312925170068,0,5,0.20627282491944143,4,0.027210884353741527,0.027210884353741638
