condition,true_label,predicted_label,count
sacr,NO,NO,300
sacr,NO,>30,80
sacr,NO,<30,40
sacr,>30,NO,300
sacr,>30,>30,140
sacr,>30,<30,20
sacr,<30,NO,60
sacr,<30,>30,40
sacr,<30,<30,0
sg_qms,NO,NO,317
sg_qms,NO,>30,97
sg_qms,NO,<30,6
sg_qms,>30,NO,334
sg_qms,>30,>30,123
sg_qms,>30,<30,3
sg_qms,<30,NO,60
sg_qms,<30,>30,40
sg_qms,<30,<30,0
