condition,N,accuracy_covered,accuracy_all_uncovered_as_incorrect,macro_f1,coverage,total_queries,covered_queries,negative_exposure,negative_query_rate,total_retrieval_events,distinct_memories_retrieved,retrieved_exactly_once,retrieved_ge_2,retrieved_ge_3,retrieved_ge_5,max_retrieval_count,alignment_total_checked,alignment_state_violations,alignment_context_violations,alignment_joint_violations,number_quarantined,number_downgraded,number_governance_exclusions,memory_retention_rate,distinct_memories_touched,number_reaching_n_min,oracle_eligible_count,quarantine_effectiveness,false_quarantine_rate
baseline,3000,0.469,0.469,0.34913370900326646,1.0,3000,3000,0.11793333333333333,0.4533333333333333,15000,13303,11764,1539,146,1,5,,,,,,,,,,,,,
sacr,3000,0.481786941580756,0.4673333333333333,0.3629037122162185,0.97,3000,2910,0.10691778341180731,0.40446735395189004,13805,12379,11091,1288,127,0,4,13805.0,0.0,0.0,0.0,,,,,,,,,
sg_qms,3000,0.481786941580756,0.4673333333333333,0.3629037122162185,0.97,3000,2910,0.10684534588917059,0.4041237113402062,13805,12379,11089,1290,127,0,4,13805.0,0.0,0.0,0.0,17.0,139.0,17.0,0.9986267065191049,12379.0,127.0,17.0,1.0,0.0
