experiment_id,query_id,query_version,baseline_avg_state_alignment,baseline_min_state_alignment,baseline_misaligned_count,sacr_avg_state_alignment,sacr_min_state_alignment,sacr_misaligned_count,alignment_improvement,misalignment_reduction,baseline_shift_drop,sacr_shift_drop
RQ1_20260914T151643Z,Q001,base,0.9856032939491586,0.9722699606158253,0,0.9279162191192265,0.838936627282492,0,-0.05768707482993207,0,,
RQ1_20260914T151643Z,Q001,shifted,0.9456032939491585,0.931453634085213,0,0.8870998925886144,0.7981203007518797,0,-0.058503401360544105,0,0.040000000000000036,0.04081632653061207
RQ1_20260914T151643Z,Q002,base,0.9678911564625852,0.9537414965986396,0,0.9093877551020408,0.8204081632653063,0,-0.05850340136054433,0,,
RQ1_20260914T151643Z,Q002,shifted,0.9633011099176516,0.9462226996061585,0,0.9018689581095597,0.812889366272825,0,-0.06143215180809192,0,0.004590046544933557,0.007518796992481147
RQ1_20260914T151643Z,Q003,base,0.9426100966702471,0.9266917293233083,0,0.8732223415682062,0.7804332259219479,0,-0.06938775510204087,0,,
RQ1_20260914T151643Z,Q003,shifted,0.9663873970640889,0.9423379878267096,0,0.9094128177586824,0.8090046544933764,0,-0.0569745793054065,0,-0.02377730039384185,-0.03619047619047622
RQ1_20260914T151643Z,Q004,base,0.8582491944146081,0.6919978517722879,1,0.8823379878267097,0.8185284640171859,0,0.024088793412101572,1,,
RQ1_20260914T151643Z,Q004,shifted,0.9616577157178661,0.949140708915145,0,0.9075080558539206,0.8185284640171859,0,-0.05414965986394549,0,-0.10340852130325795,-0.02517006802721089
RQ1_20260914T151643Z,Q005,base,0.9752631578947367,0.9627461510920157,0,0.9211134980307912,0.8321339061940566,0,-0.05414965986394549,0,,
RQ1_20260914T151643Z,Q005,shifted,0.9508771929824562,0.9382563551736484,0,0.8939026136770497,0.8049230218403152,0,-0.0569745793054065,0,0.02438596491228051,0.027210884353741527
RQ1_20260914T151643Z,Q006,base,0.9616577157178661,0.949140708915145,0,0.9075080558539206,0.8185284640171859,0,-0.05414965986394549,0,,
RQ1_20260914T151643Z,Q006,shifted,0.9569638381668458,0.9443430003580381,0,0.8999892588614393,0.8110096670247048,0,-0.0569745793054065,0,0.004693877551020242,0.007518796992481258
RQ1_20260914T151643Z,Q007,base,0.9511493018259936,0.9346938775510205,0,0.8827461510920159,0.7899570354457573,0,-0.06840315073397762,0,,
RQ1_20260914T151643Z,Q007,shifted,0.9663873970640889,0.9423379878267096,0,0.9094128177586824,0.8090046544933764,0,-0.0569745793054065,0,-0.015238095238095384,-0.026666666666666505
