condition,accuracy_covered,accuracy_all_uncovered_as_incorrect,macro_f1,coverage,total_queries,covered_queries,negative_exposure,negative_query_rate,alignment_total_checked,alignment_state_violations,alignment_context_violations,alignment_joint_violations
baseline,0.48,0.48,0.3792357968828557,1.0,300,300,0.10333333333333333,0.3933333333333333,,,,
sacr,0.4068965517241379,0.3933333333333333,0.3186683302476589,0.9666666666666667,300,290,0.12299854439592431,0.44482758620689655,1374.0,0.0,0.0,0.0
sg_qms,0.4068965517241379,0.3933333333333333,0.3186683302476589,0.9666666666666667,300,290,0.12299854439592431,0.44482758620689655,1374.0,0.0,0.0,0.0
