comparison,accuracy_diff,macro_f1_diff,coverage_diff,mcnemar_p_value,mcnemar_n_discordant,negative_exposure_wilcoxon_p,state_alignment_wilcoxon_p,context_alignment_wilcoxon_p
sacr_vs_baseline,-0.07310344827586207,-0.0605674666351968,-0.033333333333333326,0.009547810466077417,94,0.04074601596963108,5.712075083869894e-41,6.919815363551211e-41
sg_qms_vs_sacr,0.0,0.0,0.0,,0,,,
sg_qms_vs_baseline,-0.07310344827586207,-0.0605674666351968,-0.033333333333333326,0.009547810466077417,94,0.04074601596963108,5.712075083869894e-41,6.919815363551211e-41
